종목명,종목코드,시가총액
와이지엔터테인먼트,122870,1672848885500
스튜디오드래곤,253450,1644199840600
HDC현대산업개발,294870,1634501784000
케어젠,214370,1624878750000
일진전기,103590,1595076295500
동진쎄미켐,005290,1588707864600
HL만도,204320,1575411376000
오뚜기,007310,1567061530000
에스티팜,237690,1557818242400
디앤디파마텍,347850,1531490392500
녹십자,006280,1499382825400
주성엔지니어링,036930,1496042359650
에스엘,005850,1493319918000
한화투자증권,003530,1480379647500
지아이이노베이션,358570,1460258270100
카카오게임즈,293490,1455134633720
하이트진로,000080,1420205622750
비에이치아이,083650,1417252375000
다우기술,023590,1413298435500
대웅,003090,1404128817000
GS리테일,007070,1379522347500
브이티,018290,1376433369150
루닛,328130,1371503641900
엠앤씨솔루션,484870,1370338830000
에스디바이오센서,137310,1369677397500
오리온홀딩스,001800,1368802470700
HD현대건설기계,267270,1356425395200
OCI홀딩스,010060,1350911040600
HDC,012630,1347175808550
한올바이오파마,009420,1345196428500
파라다이스,034230,1342618844490
디어유,376300,1338846098400
현대지에프홀딩스,005440,1336099859570
솔브레인,357780,1316911223800
한국카본,017960,1308092990400
롯데관광개발,032350,1288390002570
카페24,042000,1282986556600
DN오토모티브,007340,1281387943500
두산퓨얼셀,336260,1270578284400
한일시멘트,300720,1268871412800
SK리츠,395400,1264944584920
태광산업,003240,1263709000000
현대위아,011210,1263211605350
테크윙,089030,1262553201000
원익IPS,240810,1261456255700
금호타이어,073240,1258200057060
롯데렌탈,089860,1234519192000
메지온,140410,1233301674000
대신증권,003540,1226177610000
LX인터내셔널,001120,1211250000000
HK이노엔,195940,1201187378400
엔켐,348370,1193239258900
이수스페셜티케미컬,457190,1191716646000
메디톡스,086900,1189655011000
코나아이,052400,1179626571000
티씨케이,064760,1169835000000
위메이드,112040,1167827815200
롯데에너지머티리얼즈,020150,1167749824900
더블유게임즈,192080,1167227695800
서진시스템,178320,1144645863900
동양생명,082640,1140805195950
NHN,181710,1136230038950
ISC,095340,1134042603000
제이앤티씨,204270,1132094479620
종근당,185750,1126306848000
효성,004800,1108214943400
효성티앤씨,298020,1107886592000
미래에셋증권2우B,00680K,1104125000000
SK오션플랜트,100090,1103405387520
쿠쿠홀딩스,192400,1102427735000
롯데칠성,005300,1097691977200
SOOP,067160,1083956528100
롯데웰푸드,280360,1077469669200
미래에셋생명,085620,1070947943450
LS에코에너지,229640,1067277033150
가온전선,000500,1063722294500
롯데리츠,330590,1056181271020
한샘,009240,1051966581600
고영,098460,1049044656400
코스모신소재,005070,1046846343200
하이젠알앤엠,160190,1045558800000
경동나비엔,009450,1044568046400
오스코텍,039200,1042262796000
대주전자재료,078600,1038747790300
하림지주,003380,1031571769410
KB발해인프라,415640,1024480781280
LX세미콘,108320,1010013030000
