날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,2320,2365,2160,2185,398906,-5.411255411255411,,,,,,,,,,,,,,,,,,1990.0
2022-06-21,2140,2250,2140,2230,240558,2.059496567505721,,,,,,,,,,,,,,,,,,2000.0
2022-06-22,2240,2330,2095,2110,398393,-5.381165919282512,,,,,,,,,,,,,,,,,,1790.0
2022-06-23,2065,2130,1955,1990,452739,-5.687203791469194,,,,,,,,,,,,,,,,,,1830.0
2022-06-24,1900,2080,1900,2070,228532,4.0201005025125625,,,,,,,,,,,,,,,,,,1810.0
2022-06-27,2070,2220,1960,2170,271462,4.830917874396135,,,,,,,,,,,,,,,,,,1800.0
2022-06-28,2120,2230,2115,2180,191248,0.4608294930875576,,,,,,,,,,,,,,,,,,1805.0
2022-06-29,2120,2195,2105,2165,187849,-0.6880733944954129,,,,,,,,,,,,,,,,,,1845.0
2022-06-30,2250,2250,2080,2080,274761,-3.9260969976905313,,,,,,,,,,,,,,,,2132.5,,1860.0
2022-07-01,2080,2115,1990,2005,249200,-3.6057692307692304,,,,,,,,,,,,,,,,2115.0,,1865.0
2022-07-04,2030,2030,1950,1980,156554,-1.2468827930174564,,,,,,,,,,,,,,,,2115.0,,1830.0
2022-07-05,2000,2100,2000,2085,200468,5.303030303030303,,,,,,,,,,,,,,,,2075.0,,1805.0
2022-07-06,2090,2090,2000,2020,123940,-3.117505995203837,,,,,,,,,,,,,,,,2075.0,,1830.0
2022-07-07,2020,2080,2015,2060,89242,1.9801980198019802,,,,,,,,,,,,,,,,2100.0,,1855.0
2022-07-08,2085,2140,2070,2095,245413,1.6990291262135921,,,,,,,,,,47.86989803818269,,,,,,2100.0,,1840.0
2022-07-11,2095,2125,2055,2070,203634,-1.1933174224343674,,,,,,,,,,45.67632135436802,,,,,,2100.0,,1815.0
2022-07-12,2095,2095,1995,2015,163143,-2.657004830917874,,,,,,,,,,41.20303323441556,,,,,,2100.0,,1835.0
2022-07-13,2015,2030,1980,2000,133586,-0.7444168734491315,,,,,,,,,,40.05100680512381,,,,,,2045.0,,1820.0
2022-07-14,2005,2025,1975,2015,180851,0.75,,,,,,,,,,41.80333729699665,,,,,,2045.0,,1760.0
2022-07-15,2010,2010,1955,1975,220640,-1.9851116625310175,2075.0,,,2075.0,1924.46761145853,2075.0,2225.53238854147,14.509145883515183,0.16784556809031467,38.56597121222223,,,,,,2047.5,,1735.0
2022-07-18,1980,2020,1980,2015,182094,2.0253164556962027,2066.5,,,2069.285714285714,1922.7258715901912,2066.5,2210.274128409809,13.914747487036902,0.32089962718046816,43.295150148120705,,,,,,2047.5,,1720.0
2022-07-19,2010,2050,1985,2030,185861,0.7444168734491315,2056.5,,,2065.5442176870747,1933.2482251649078,2056.5,2179.751774835092,11.986557241438568,0.3924964770874243,45.00483937676353,,,,,,2047.5,,1760.0
2022-07-20,2055,2080,2010,2030,214878,0.0,2052.5,,,2062.1590540978295,1931.2770648763185,2052.5,2173.7229351236815,11.812222667350207,0.40719577950722086,45.004839376763535,,,,,,2047.5,,1755.0
2022-07-21,2030,2085,2020,2045,169678,0.7389162561576355,2055.25,,,2060.5248584694646,1937.374005836641,2055.25,2173.125994163359,11.470720755466147,0.4565221058250636,46.862917802521416,,,,,,2040.0,,1710.0
2022-07-22,2035,2055,2005,2005,146258,-1.9559902200488997,2052.0,,,2055.236776710468,1932.3588699484985,2052.0,2171.6411300515015,11.66092885492217,0.30357925414208276,42.718104654401365,,,,,,2025.0,,1675.0
2022-07-25,2025,2025,1990,2010,116425,0.24937655860349126,2044.0,,,2050.928512261852,1936.176069446526,2044.0,2151.823930553474,10.550286746915257,0.3423355565621023,43.39208539124683,-33.76356913831182,,,,,2020.0,2132.5,1705.0
2022-07-26,2020,2025,1980,1990,239615,-0.9950248756218906,2034.5,,,2045.1257968083423,1944.2281882313175,2034.5,2124.7718117686823,8.87410290181198,0.25352217304539526,41.298874455514735,-34.38333123888265,,,,,2020.0,2115.0,1665.0
2022-07-27,1990,2010,1970,2000,106910,0.5025125628140703,2026.25,,,2040.8281018742143,1957.629667736155,2026.25,2094.870332263845,6.773135818763227,0.3087301596043813,42.78503856753675,-33.679346203844034,,,,,2020.0,2115.0,1660.0
