날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,4280,4280,4000,4050,88586,-2.1739130434782608,,,,,,,,,,,,,,,,,,3775.0
2022-06-21,4050,4200,3980,4100,45553,1.2345679012345678,,,,,,,,,,,,,,,,,,3750.0
2022-06-22,4200,4200,3960,3965,60126,-3.2926829268292686,,,,,,,,,,,,,,,,,,3640.0
2022-06-23,3965,4000,3880,3890,60656,-1.8915510718789406,,,,,,,,,,,,,,,,,,3670.0
2022-06-24,4040,4040,3865,3890,63162,0.0,,,,,,,,,,,,,,,,,,3720.0
2022-06-27,3965,3975,3820,3865,39416,-0.6426735218508998,,,,,,,,,,,,,,,,,,3620.0
2022-06-28,3865,3995,3850,3885,40198,0.517464424320828,,,,,,,,,,,,,,,,,,3575.0
2022-06-29,3885,4160,3885,4145,105370,6.692406692406692,,,,,,,,,,,,,,,,,,3575.0
2022-06-30,4145,4305,3990,4090,104257,-1.3268998793727382,,,,,,,,,,,,,,,,4062.5,,3890.0
2022-07-01,4055,4085,3910,3910,52435,-4.400977995110025,,,,,,,,,,,,,,,,4062.5,,3935.0
2022-07-04,4000,4000,3620,3880,66787,-0.7672634271099744,,,,,,,,,,,,,,,,3962.5,,3890.0
2022-07-05,3855,4025,3850,3965,49662,2.190721649484536,,,,,,,,,,,,,,,,3962.5,,3910.0
2022-07-06,4025,4060,3940,3990,56342,0.6305170239596469,,,,,,,,,,,,,,,,3962.5,,3930.0
2022-07-07,4000,4040,3960,3995,23866,0.12531328320802004,,,,,,,,,,,,,,,,3962.5,,3940.0
2022-07-08,4010,4045,3940,3975,37087,-0.5006257822277848,,,,,,,,,,47.92520901129162,,,,,,3962.5,,3970.0
2022-07-11,3980,4055,3770,3805,104568,-4.276729559748428,,,,,,,,,,36.46434053824301,,,,,,3962.5,,4335.0
2022-07-12,3805,3900,3655,3710,74262,-2.4967148488830486,,,,,,,,,,31.87672905407921,,,,,,3962.5,,4335.0
2022-07-13,3740,3865,3540,3540,98976,-4.5822102425876015,,,,,,,,,,25.656277508966514,,,,,,3812.5,,4130.0
2022-07-14,3680,3810,3545,3595,74413,1.5536723163841808,,,,,,,,,,30.389137188943767,,,,,,3800.0,,4020.0
2022-07-15,3685,3890,3600,3810,59543,5.980528511821975,3902.75,,,3902.75,3596.915485924168,3902.75,4208.584514075832,15.672769922533186,0.34836570803613987,45.10197640535456,,,,,,3800.0,,4015.0
2022-07-18,3895,4080,3845,4050,96232,6.299212598425196,3902.75,,,3916.7738095238096,3596.915485924168,3902.75,4208.584514075832,15.672769922533186,0.7407347654089316,56.22459632815804,,,,,,3810.0,,4050.0
2022-07-19,4050,4170,3970,4010,70026,-0.9876543209876543,3898.25,,,3925.652494331066,3601.647993938004,3898.25,4194.852006061996,15.217187510395474,0.6883837562053474,54.25173108903884,,,,,,3855.0,,3930.0
2022-07-20,4010,4205,4010,4125,150901,2.8678304239401498,3906.25,,,3944.6379710614406,3594.6272312554806,3906.25,4217.872768744519,15.95508575971938,0.8509852647823373,58.73481999004777,,,,,,3872.5,,4615.0
2022-07-21,4225,4225,4040,4070,58371,-1.3333333333333335,3915.25,,,3956.577211912732,3595.727309099964,3915.25,4234.772690900037,16.321955987486696,0.7421580757912648,55.91277912925558,,,,,,3882.5,,4800.0
2022-07-22,4095,4110,3900,3940,91731,-3.194103194103194,3917.75,,,3954.998429825805,3598.2742575718776,3917.75,4237.225742428122,16.309143892699762,0.5348226751597673,49.81973385771395,,,,,,3882.5,,4795.0
2022-07-25,3940,3995,3865,3885,67407,-1.3959390862944163,3918.75,,,3948.331912699538,3599.816229445673,3918.75,4237.683770554327,16.277321623187337,0.447089328387301,47.46314480189745,1.6488883222314143,,,,,3882.5,3922.5,4870.0
2022-07-26,3885,3935,3775,3775,53802,-2.8314028314028317,3913.25,,,3931.8241114900584,3588.438131374483,3913.25,4238.0618686255175,16.600619363726686,0.2871845007003243,43.074619724578476,-10.831392107794272,,,,,3885.0,3922.5,4495.0
2022-07-27,3750,3820,3700,3750,49273,-0.6622516556291391,3893.5,,,3914.5075294433864,3579.603520249111,3893.5,4207.396479750889,16.12412892004052,0.27142145698180026,42.12139171927792,-22.480256922113313,,,,,3912.5,3922.5,5110.0
2022-07-28,3755,3770,3600,3640,64350,-2.933333333333333,3871.0,,,3888.363955210683,3552.195984968821,3871.0,4189.804015031179,16.471403514914957,0.13770845235840548,38.123712965550546,-40.125603919973855,,,,,3912.5,3922.5,5000.0
2022-07-29,3640,3785,3575,3670,27446,0.8241758241758242,3859.0,,,3867.5673880477607,3529.096983948312,3859.0,4188.903016051688,17.09785001563555,0.21355217927078912,39.80175284774649,-51.09987175111837,,,,,3900.0,3922.5,4800.0
2022-08-01,3680,3785,3630,3720,22443,1.3623978201634876,3851.0,,,3853.513351090831,3515.804534636877,3851.0,4186.195465363123,17.40822982929747,0.3045916285620309,42.59593131500679,-55.12700612878325,,,,,3900.0,3922.5,4290.0
2022-08-02,3730,3780,3605,3620,33575,-2.6881720430107525,3833.75,,,3831.2739843202753,3488.4403563466544,3833.75,4179.059643653345,18.01419725612496,0.1904951774028901,38.72450619783796,-65.6311483776235,,,,,3900.0,3922.5,4360.0
2022-08-03,3620,3630,3570,3575,32912,-1.2430939226519337,3813.0,,,3806.8669381945347,3458.0014084534973,3813.0,4167.998591546502,18.62043490933661,0.1647874024468864,37.09082815259636,-76.70269973067298,,,,,3840.0,3922.5,4360.0
2022-08-04,3660,3660,3530,3575,44917,0.0,3792.0,,,3784.784372652198,3432.8844197197777,3792.0,4151.115580280222,18.94069516245898,0.19786885905831175,37.090828152596366,-84.5028872610601,-39.51933416362585,-44.983553097434246,,,3762.5,3917.5,4310.0
2022-08-05,3575,3915,3515,3890,94510,8.811188811188812,3787.75,,,3794.804908590084,3435.4507663931117,3787.75,4140.049233606888,18.60203200353182,0.6451181130216356,53.139935253870924,-64.52294430326037,-15.6315129646609,-48.891431338599475,,,3725.0,3870.0,4350.0
2022-08-08,3890,3980,3780,3935,57872,1.1568123393316194,3794.25,,,3808.1568220576946,3436.1679563284406,3794.25,4152.332043671559,18.874984182463432,0.696533172337872,54.90966524225841,-44.54409504226851,3.477869037064778,-48.02196407933329,,,3747.5,3870.0,4440.0
2022-08-09,3865,4000,3815,3890,74979,-1.1435832274459974,3803.25,,,3815.951410433152,3445.0423088486227,3803.25,4161.457691151378,18.836925847702755,0.6210889689737839,52.76369350413625,-31.97326903958583,12.83895603179797,-44.8122250713838,,,3757.5,3870.0,4535.0
2022-08-10,3890,3965,3825,3910,35570,0.5141388174807198,3821.75,,,3824.908418963328,3482.0990762562237,3821.75,4161.400923743777,17.774628049651415,0.6299127925625387,53.631063711010285,-20.16452195441161,19.71816249357775,-39.88268444798936,,,3757.5,3870.0,4480.0
2022-08-11,3910,3950,3880,3930,39002,0.5115089514066496,3838.5,,,3834.9171409668206,3512.4616586964034,3838.5,4164.538341303596,16.98779946872978,0.6403209199785469,54.5302218653084,-9.08741786255814,24.63621326834498,-33.72363113090312,,,3757.5,3870.0,4270.0
2022-08-12,3965,4180,3810,3940,191660,0.2544529262086514,3845.0,,,3844.9250323033143,3516.3208251196916,3845.0,4173.679174880309,17.096446027584324,0.6445178265927478,55.00008924364519,0.49250605969245953,27.372909752476467,-26.880403692784007,,,3847.5,3870.0,4425.0
2022-08-16,3940,4010,3900,3970,24943,0.7614213197969544,3841.0,,,3856.836933988713,3520.5534365919953,3841.0,4161.446563408005,16.68557997438193,0.7012816093704709,56.45389930326053,10.385694248810069,29.81287835327526,-19.42718410446519,,,3847.5,3870.0,4290.0
