날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,68000,68400,67000,68000,27689,0.0,,,,,,,,,,,,,,,,,,80700.0
2022-06-21,67700,69400,67600,68800,104061,1.1764705882352942,,,,,,,,,,,,,,,,,,81400.0
2022-06-22,69000,70000,68300,68300,110869,-0.7267441860465116,,,,,,,,,,,,,,,,,,82700.0
2022-06-23,69000,69000,67600,68400,97283,0.14641288433382138,,,,,,,,,,,,,,,,,,82000.0
2022-06-24,68400,70300,68000,70000,77172,2.3391812865497075,,,,,,,,,,,,,,,,,,84500.0
2022-06-27,70000,72200,69600,72100,88015,3.0,,,,,,,,,,,,,,,,,,86100.0
2022-06-28,72400,74500,71600,73300,46378,1.6643550624133148,,,,,,,,,,,,,,,,,,86400.0
2022-06-29,73600,73600,71600,71700,126612,-2.1828103683492497,,,,,,,,,,,,,,,,,,87400.0
2022-06-30,71700,73800,71400,73800,120799,2.928870292887029,,,,,,,,,,,,,,,,70750.0,,86900.0
2022-07-01,73800,74500,72600,74100,141353,0.40650406504065045,,,,,,,,,,,,,,,,71050.0,,86200.0
2022-07-04,74800,75100,73500,74800,119650,0.9446693657219973,,,,,,,,,,,,,,,,71350.0,,86100.0
2022-07-05,75100,76400,74200,76400,90894,2.13903743315508,,,,,,,,,,,,,,,,72000.0,,85300.0
2022-07-06,76400,77100,75300,75400,114926,-1.3089005235602094,,,,,,,,,,,,,,,,72550.0,,86800.0
2022-07-07,76300,76300,74000,74700,186031,-0.9283819628647214,,,,,,,,,,,,,,,,73350.0,,87200.0
2022-07-08,74700,76300,74500,75500,58556,1.07095046854083,,,,,,,,,,72.4106898886926,,,,,,74250.0,,89300.0
2022-07-11,75200,77000,74500,76900,145477,1.8543046357615895,,,,,,,,,,76.12933643418503,,,,,,74250.0,,88500.0
2022-07-12,76900,78500,76400,78400,93997,1.950585175552666,,,,,,,,,,79.34209597716034,,,,,,74950.0,,88400.0
2022-07-13,78400,80400,77800,80100,105296,2.1683673469387754,,,,,,,,,,82.2567628982625,,,,,,76500.0,,88200.0
2022-07-14,80200,80900,78300,78800,183697,-1.6229712858926344,,,,,,,,,,73.69399995640967,,,,,,77200.0,,87600.0
2022-07-15,79000,79600,78300,79100,103334,0.3807106598984772,73930.0,,,73930.0,66482.02040819124,73930.0,81377.97959180876,20.148734185875185,0.8470739907562268,74.35738727545785,,,,,,77450.0,,89700.0
2022-07-18,79800,80100,78200,79800,96894,0.8849557522123894,74520.0,,,74489.04761904762,67175.72331675884,74520.0,81864.27668324116,19.710887501989152,0.8594635814884526,75.88548903792643,,,,,,77450.0,,91100.0
