Date,Ticker,Market,Name,Sector,Close,PER,PBR,ROE,ROIC,EPS,MarketCap,Return_3M,Return_6M,Volatility,Quality_Score,Value_Score,Momentum_Score,Final_Score
2025-06-21,005930,KR,삼성전자,한국주식,59500.0,12.02,1.0299999713897705,33.132498999999996,17.788228674999196,4950.0,1022495659500000.0,0.017094017094017033,0.10185185185185186,0.3319761181933596,50.0,70.53846153846153,45.5,57.061538461538454
2025-06-21,000660,KR,SK하이닉스,한국주식,257000.0,8.94,2.4000000953674316,33.132498999999996,17.788228674999196,28732.0,912053936000000.0,0.25060827250608275,0.5082159624413145,0.5351473564131793,50.0,70.15384615384616,78.0,61.44615384615384
2025-06-21,207940,KR,삼성바이오로직스,한국주식,985580.0,66.75,6.630000114440918,33.132498999999996,17.788228674999196,15221.0,121351040000000.0,-0.0583873957367933,0.05943691345151203,0.34576395110249714,50.0,21.692307692307693,35.5,38.15769230769231
2025-06-21,373220,KR,LG에너지솔루션,한국주식,305000.0,1.5048,3.380000114440918,33.132498999999996,17.788228674999196,0.6438,149772080000000.0,-0.0771558245083207,-0.20779220779220775,0.46258342967623806,50.0,80.46153846153845,10.0,44.888461538461534
2025-06-21,012450,KR,한화에어로스페이스,한국주식,938000.0,20.39,8.670000076293945,33.132498999999996,17.788228674999196,46002.0,351233162000000.0,0.26001260012600125,2.273436654812964,0.6546115051269997,50.0,45.38461538461539,87.5,55.36538461538461
2025-06-21,005380,KR,현대차,한국주식,210000.0,4.41,0.5099999904632568,33.132498999999996,17.788228674999196,47018.19,135822120000000.0,0.02941176470588225,-0.002375296912114022,0.35616202822351695,50.0,93.38461538461539,35.0,59.01538461538462
2025-06-21,035420,KR,NAVER,한국주식,269500.0,21.22,1.5800000429153442,33.132498999999996,17.788228674999196,12702.0,1241800622829000.5,0.29567307692307687,0.2894736842105263,0.3890343059286184,50.0,60.84615384615385,78.5,61.05384615384615
2025-06-21,105560,KR,KB금융,한국주식,106500.0,8.27,0.6899999976158142,33.132498999999996,17.788228674999196,12880.0,324903064500000.0,0.31157635467980294,0.27851140456182466,0.38700334655758806,50.0,84.23076923076923,79.0,68.46923076923076
2025-06-21,000270,KR,기아,한국주식,98700.0,3.96,0.699999988079071,33.132498999999996,17.788228674999196,24893.0,97212393600000.0,0.016477857878475888,0.030271398747390377,0.3422769301747434,50.0,90.9230769230769,35.5,59.67692307692307
2025-06-21,329180,KR,HD현대중공업,한국주식,443000.0,63.28,6.889999866485596,33.132498999999996,17.788228674999196,7001.0,148089584000000.0,0.42443729903536975,1.0367816091954025,0.5783267823784232,50.0,22.230769230769226,91.5,50.61923076923077
2025-06-21,034020,KR,두산에너빌리티,한국주식,60200.0,345.98,5.139999866485596,33.132498999999996,17.788228674999196,174.0,601217099000000.0,1.0601958663782758,2.4187385005811466,0.5539090928751748,50.0,19.538461538461537,100.0,52.61153846153846
2025-06-21,068270,KR,셀트리온,한국주식,162200.0,86.09,2.069999933242798,33.132498999999996,17.788228674999196,1884.0,148379424600000.0,-0.09211385319556908,-0.03177474137879577,0.3242781285861614,50.0,32.15384615384615,17.0,37.496153846153845
2025-06-21,035720,KR,카카오,한국주식,66600.0,459.1857999999996,2.880000114440918,33.132498999999996,17.788228674999196,126.0,1113770581200000.0,0.5381062355658199,0.5188141391106043,0.4874804153228177,50.0,23.0,90.5,51.55
2025-06-21,055550,KR,신한지주,한국주식,59300.0,7.03,0.5299999713897705,33.132498999999996,17.788228674999196,8441.0,220501060700000.0,0.25502645502645493,0.18718718718718708,0.3452574794222825,50.0,87.76923076923077,68.5,68.13076923076923
2025-06-21,028260,KR,삼성물산,한국주식,161900.0,11.88,0.8500000238418579,33.132498999999996,17.788228674999196,13629.0,130123401300000.0,0.31412337662337664,0.3932874354561102,0.3638581560223784,50.0,74.07692307692307,84.5,67.82307692307691
2025-06-21,042660,KR,한화오션,한국주식,88600.0,53.76,5.590000152587891,33.132498999999996,17.788228674999196,1648.0,263427823600000.0,0.10611735330836458,1.7861635220125787,0.6674612662145313,50.0,30.846153846153847,78.0,47.90384615384615
2025-06-21,012330,KR,현대모비스,한국주식,291500.0,6.49,0.5699999928474426,33.132498999999996,17.788228674999196,44939.0,79608650000000.0,0.07962962962962972,0.17303822937625757,0.33928698305696436,50.0,88.3076923076923,57.5,65.74230769230769
2025-06-21,009540,KR,HD한국조선해양,한국주식,375500.0,22.65,2.390000104904175,33.132498999999996,17.788228674999196,16578.0,138075480500000.0,0.7146118721461188,0.9158163265306123,0.512764572431228,50.0,57.30769230769231,93.0,62.34230769230769
2025-06-21,032830,KR,삼성생명,한국주식,127200.0,10.84,0.7400000095367432,33.132498999999996,17.788228674999196,11732.0,74503838400000.0,0.49120750293083226,0.26567164179104474,0.4258422170096071,50.0,76.61538461538461,80.5,65.38461538461537
2025-06-21,011200,KR,HMM,한국주식,23000.0,4.6,0.7300000190734863,33.132498999999996,17.788228674999196,4999.0,64296960000000.0,0.1499999999999999,0.252723311546841,0.3959895014975365,50.0,86.84615384615384,66.0,64.60384615384615
2025-06-21,AAPL,US,Apple Inc.,Technology,201.0,31.357256,43.77260965999999,134.18115999999995,56.493804216922705,6.41,3002095632384.0,-0.07791459342624563,-0.20512514777860213,0.3225177912944085,97.5,24.615384615384613,10.5,48.034615384615385
2025-06-21,MSFT,US,Microsoft Corporation,Technology,477.3999938964844,36.893356,11.025404,33.61,24.455831873279223,12.94,3548294676480.0,0.22240049747939294,0.05451619515877315,0.2547650886837814,71.44736842105263,27.0,53.0,54.93421052631579
