날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,11360,12605,10870,11760,1528531,1.950585175552666,,,,,,,,,,,,,,,,,,8425.0
2022-06-21,12019,12484,11240,11380,675452,-3.231292517006803,,,,,,,,,,,,,,,,,,8310.0
2022-06-22,11374,11419,10440,10845,394011,-4.701230228471002,,,,,,,,,,,,,,,,,,8290.0
2022-06-23,10690,10690,8800,8980,496915,-17.196864914707238,,,,,,,,,,,,,,,,,,7245.0
2022-06-24,8930,9664,8775,9045,277334,0.7238307349665924,,,,,,,,,,,,,,,,,,7090.0
2022-06-27,9330,9929,9110,9445,316520,4.422332780541736,,,,,,,,,,,,,,,,,,6845.0
2022-06-28,9490,9780,9134,9315,201405,-1.3763896241397564,,,,,,,,,,,,,,,,,,6935.0
2022-06-29,9115,9335,8890,8935,179592,-4.079441760601181,,,,,,,,,,,,,,,,,,6910.0
2022-06-30,8929,8974,8350,8645,295577,-3.2456631225517625,,,,,,,,,,,,,,,,10477.5,,6935.0
2022-07-01,8529,8909,8240,8445,175014,-2.313475997686524,,,,,,,,,,,,,,,,10362.0,,7200.0
2022-07-04,8420,10393,7975,8555,2066510,1.3025458851391356,,,,,,,,,,,,,,,,9697.0,,7090.0
2022-07-05,8800,10090,8335,9270,1292900,8.357685563997661,,,,,,,,,,,,,,,,9332.5,,6935.0
2022-07-06,9220,9709,9065,9355,408115,0.9169363538295576,,,,,,,,,,,,,,,,9184.0,,7090.0
2022-07-07,9424,10315,9044,9625,739448,2.8861571352218065,,,,,,,,,,,,,,,,9184.0,,7110.0
2022-07-08,9619,9954,9195,9200,299027,-4.415584415584416,,,,,,,,,,35.18567007847625,,,,,,9184.0,,7065.0
2022-07-11,9309,9464,8885,8955,137537,-2.6630434782608696,,,,,,,,,,32.68715267212182,,,,,,9184.0,,7045.0
2022-07-12,8864,9309,8640,8800,173510,-1.7308766052484645,,,,,,,,,,31.178722644696713,,,,,,9184.0,,6890.0
2022-07-13,8800,9000,8535,8715,158398,-0.9659090909090908,,,,,,,,,,30.351541286385995,,,,,,9184.0,,6665.0
2022-07-14,8710,9639,8665,9335,750935,7.1141709695926565,,,,,,,,,,42.36312546589036,,,,,,9184.0,,6445.0
2022-07-15,9330,10084,9220,10000,805900,7.12372790573112,9430.25,,,9430.25,7653.470680557092,9430.25,11207.029319442907,37.682549655479065,0.6603322353444097,51.937488290654095,,,,,,9325.0,,6225.0
2022-07-18,10484,10954,10020,10290,876740,2.9000000000000004,9356.75,,,9512.130952380952,7874.311889993379,9356.75,10839.18811000662,31.68703043271693,0.8147686212667025,55.41567351019087,,,,,,9744.5,,6180.0
2022-07-19,10200,10225,9755,9780,205647,-4.956268221574344,9276.75,,,9537.642290249432,8098.130998795623,9276.75,10455.369001204377,25.41017061372522,0.7134913824933043,48.736030434650424,,,,,,9744.5,,6425.0
2022-07-20,9929,10529,9640,9845,375985,0.6646216768916156,9226.75,,,9566.91445308282,8251.125712684434,9226.75,10202.374287315566,21.147734301147555,0.8168484057019108,49.57035383733769,,,,,,9744.5,,6400.0
2022-07-21,10245,10470,9555,9580,1471359,-2.691721686135094,9256.75,,,9568.16069564636,8276.432321897639,9256.75,10237.067678102361,21.18060179009612,0.6648700249013807,46.26447428954426,,,,,,9744.5,,6335.0
2022-07-22,9709,9729,9150,9335,583062,-2.55741127348643,9271.25,,,9545.95491510861,8295.32031503289,9271.25,10247.17968496711,21.05281779624344,0.5326611645193211,43.38377926642681,,,,,,9744.5,,6400.0
2022-07-25,9335,9670,8135,8535,1779388,-8.56989823245849,9225.75,,,9449.673494622077,8202.748167157064,9225.75,10248.751832842936,22.17709850891117,0.16239063419837851,35.590910905280985,-67.98208119416813,,,,,9544.5,10290.0,6425.0
2022-07-26,8690,8715,8290,8425,181663,-1.2888107791446983,9181.25,,,9352.085542753308,8101.7784857857505,9181.25,10260.72151421425,23.514696021004763,0.14971285020407568,34.66877313078173,-140.11808360523537,,,,,9544.5,10229.5,6155.0
2022-07-27,8464,8594,8265,8310,166642,-1.3649851632047478,9150.0,,,9252.839300586325,8009.368595908387,9150.0,10290.631404091613,24.931833969215585,0.13178288928974072,33.68612594196652,-204.21189650729139,,,,,9544.5,9697.0,6020.0
2022-07-28,8374,8394,8130,8290,146205,-0.24067388688327318,9132.25,,,9161.140319578104,7950.4315917832355,9132.25,10314.068408216765,25.882305197881454,0.1436635298011377,33.5082457156996,-253.6960872823256,,,,,9542.0,9464.5,5755.0
2022-07-29,6705,7729,6705,7245,774602,-12.605548854041013,9072.25,,,8978.65076533257,7657.97465552142,9072.25,10486.52534447858,31.17805052723591,-0.14600221135640198,25.832589347931258,-372.93645227948764,,,,,8617.0,8829.5,5845.0
