날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,8480,8510,7960,8140,63056,-4.009433962264151,,,,,,,,,,,,,,,,,,9040.0
2022-06-21,8100,8230,8100,8170,29104,0.36855036855036855,,,,,,,,,,,,,,,,,,8930.0
2022-06-22,8300,8300,7920,8000,38179,-2.08078335373317,,,,,,,,,,,,,,,,,,8930.0
2022-06-23,7960,8050,7610,7740,45334,-3.25,,,,,,,,,,,,,,,,,,9050.0
2022-06-24,7640,8130,7640,8100,25882,4.651162790697675,,,,,,,,,,,,,,,,,,9020.0
2022-06-27,8170,8370,8160,8290,15020,2.345679012345679,,,,,,,,,,,,,,,,,,8910.0
2022-06-28,8570,8570,8220,8440,14290,1.8094089264173705,,,,,,,,,,,,,,,,,,8880.0
2022-06-29,8600,8600,8280,8400,6599,-0.47393364928909953,,,,,,,,,,,,,,,,,,8950.0
2022-06-30,8310,8400,8180,8300,8937,-1.1904761904761905,,,,,,,,,,,,,,,,8105.0,,9020.0
2022-07-01,8320,8550,8220,8400,25015,1.2048192771084338,,,,,,,,,,,,,,,,8105.0,,8990.0
2022-07-04,8400,8610,8190,8290,7915,-1.3095238095238095,,,,,,,,,,,,,,,,8110.0,,9030.0
2022-07-05,8250,8500,8250,8500,9379,2.5331724969843186,,,,,,,,,,,,,,,,8110.0,,8930.0
2022-07-06,8540,8540,8410,8450,8664,-0.5882352941176471,,,,,,,,,,,,,,,,8125.0,,9070.0
2022-07-07,8450,8530,8420,8440,3338,-0.1183431952662722,,,,,,,,,,,,,,,,8385.0,,9280.0
2022-07-08,8460,8750,8420,8640,13671,2.3696682464454977,,,,,,,,,,66.2964758675578,,,,,,8465.0,,9420.0
2022-07-11,8680,8730,8540,8540,8612,-1.1574074074074074,,,,,,,,,,60.86851178253519,,,,,,8465.0,,9390.0
2022-07-12,8550,8680,8300,8360,7211,-2.107728337236534,,,,,,,,,,52.53128300810169,,,,,,8465.0,,9360.0
2022-07-13,8260,8650,8260,8610,8004,2.9904306220095696,,,,,,,,,,60.60266756033041,,,,,,8470.0,,9340.0
2022-07-14,8610,8690,8540,8690,4870,0.9291521486643438,,,,,,,,,,62.783445148630875,,,,,,8470.0,,9370.0
2022-07-15,8770,8840,8530,8640,3667,-0.5753739930955121,8357.0,,,8357.0,7891.463750068805,8357.0,8822.536249931196,11.141228908249264,0.8039505516936929,60.52833386316164,,,,,,8545.0,,9270.0
2022-07-18,8640,8790,8620,8780,4366,1.6203703703703702,8389.0,,,8397.285714285714,7900.127828568653,8389.0,8877.872171431347,11.655076205300917,0.8999000381379949,64.38569277875092,,,,,,8550.0,,9370.0
2022-07-19,8670,8780,8650,8680,5451,-1.1389521640091116,8414.5,,,8424.21088435374,7920.800698805437,8414.5,8908.199301194563,11.734489302859666,0.7688883692539078,59.88403674854226,,,,,,8550.0,,9420.0
2022-07-20,8710,8820,8680,8710,17045,0.3456221198156682,8450.0,,,8451.42889536767,7979.043526427335,8450.0,8920.956473572665,11.146898782784978,0.7760340016431304,60.77018250177215,,,,,,8550.0,,9350.0
2022-07-21,8740,8840,8670,8730,22441,0.2296211251435132,8499.5,,,8477.959476761225,8143.327289085758,8499.5,8855.672710914243,8.381027376063123,0.8235789729768183,61.38262332046119,,,,,,8550.0,,9290.0
2022-07-22,8730,8840,8690,8780,6699,0.572737686139748,8533.5,,,8506.725240879205,8207.845274869225,8533.5,8859.154725130775,7.632383550261317,0.8784683300710773,62.94029006651824,,,,,,8550.0,,9350.0
2022-07-25,8770,8850,8690,8830,11917,0.5694760820045558,8560.5,,,8537.513313176423,8230.562127060259,8560.5,8890.437872939741,7.708378551246803,0.9084102222014696,64.48309690023841,210.07705240162795,,,,,8555.0,8230.0,9380.0
2022-07-26,8800,9180,8770,9040,39423,2.378255945639864,8590.5,,,8585.369188112003,8205.351976507733,8590.5,8975.648023492267,8.966836004709094,1.0835418755680368,70.11109035861365,224.97644078954363,,,,,8855.0,8395.0,9170.0
2022-07-27,9040,9040,8910,8930,10259,-1.2168141592920354,8617.0,,,8618.191170196575,8215.348409688197,8617.0,9018.651590311803,9.322306842562455,0.889641181000948,64.35826858825357,225.31098792207558,,,,,8855.0,8395.0,9000.0
2022-07-28,8940,9070,8840,8930,19626,0.0,8648.5,,,8647.887249225472,8252.455810546347,8648.5,9044.544189453653,9.158679295916112,0.855389635167142,64.35826858825357,223.00545091283857,,,,,8900.0,8395.0,8880.0
2022-07-29,8950,9100,8880,9050,12741,1.3437849944008957,8681.0,,,8686.18370168019,8265.64954556423,8681.0,9096.35045443577,9.569184527952293,0.9442031976361579,67.71035633115592,228.23039541086837,,,,,8915.0,8410.0,9140.0
2022-08-01,9050,9050,8900,9020,9199,-0.3314917127071823,8717.5,,,8717.975730091599,8318.006570767428,8717.5,9116.993429232572,9.165321003328303,0.8786044748985021,66.03820140208227,227.32993431489922,,,,,8925.0,8670.0,8760.0
2022-08-02,9010,9020,8870,8910,8163,-1.2195121951219512,8738.0,,,8736.263755797161,8343.20385006943,8738.0,9132.79614993057,9.036304644783002,0.7178339378819281,60.17058441117569,215.2588615552104,,,,,8925.0,8680.0,8830.0
