날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,20500,20750,19850,20300,10586,-1.932367149758454,,,,,,,,,,,,,,,,,,20900.0
2022-06-21,19850,20600,19850,20600,2594,1.477832512315271,,,,,,,,,,,,,,,,,,20650.0
2022-06-22,20300,20550,19150,19500,9369,-5.339805825242718,,,,,,,,,,,,,,,,,,21000.0
2022-06-23,18950,19250,16550,16800,55878,-13.846153846153847,,,,,,,,,,,,,,,,,,20750.0
2022-06-24,16800,17850,16750,17700,9016,5.357142857142857,,,,,,,,,,,,,,,,,,20700.0
2022-06-27,17900,18450,17800,18200,6300,2.824858757062147,,,,,,,,,,,,,,,,,,20600.0
2022-06-28,18350,19250,18050,19250,27161,5.769230769230769,,,,,,,,,,,,,,,,,,20800.0
2022-06-29,20400,20650,19800,20500,33395,6.493506493506493,,,,,,,,,,,,,,,,,,20900.0
2022-06-30,20250,20450,18900,19250,12514,-6.097560975609756,,,,,,,,,,,,,,,,18650.0,,21000.0
2022-07-01,19050,20900,19050,19900,33673,3.3766233766233764,,,,,,,,,,,,,,,,18725.0,,20850.0
2022-07-04,19900,19900,18900,19600,8081,-1.507537688442211,,,,,,,,,,,,,,,,18725.0,,20800.0
2022-07-05,19450,20500,19400,20100,8716,2.5510204081632653,,,,,,,,,,,,,,,,18725.0,,21200.0
2022-07-06,20300,21000,20100,20650,14837,2.736318407960199,,,,,,,,,,,,,,,,18875.0,,21300.0
2022-07-07,20800,20800,20000,20700,10042,0.24213075060532688,,,,,,,,,,,,,,,,19400.0,,21200.0
2022-07-08,21000,21000,20450,20750,16549,0.24154589371980675,,,,,,,,,,57.0222130845841,,,,,,19525.0,,21100.0
2022-07-11,20900,22000,20550,21550,32280,3.8554216867469884,,,,,,,,,,62.254189820300795,,,,,,20450.0,,20900.0
2022-07-12,21100,21100,19400,20000,26414,-7.192575406032482,,,,,,,,,,49.644155288137945,,,,,,20450.0,,21000.0
2022-07-13,20200,20450,19900,19900,6926,-0.5,,,,,,,,,,48.95518675484857,,,,,,20450.0,,20900.0
2022-07-14,19700,20750,19700,19850,5177,-0.25125628140703515,,,,,,,,,,48.592065799685244,,,,,,20450.0,,20700.0
2022-07-15,19850,20050,19550,19650,5196,-1.0075566750629723,19737.5,,,19737.5,17561.293438113007,19737.5,21913.706561886993,22.051491444073392,0.4798962098698644,47.08752778755961,,,,,,20700.0,,20600.0
2022-07-18,19700,20300,19700,19900,4524,1.2722646310432568,19717.5,,,19752.97619047619,17555.030347033742,19717.5,21879.969652966258,21.93452164793973,0.5421971239572461,49.20469926385614,,,,,,20700.0,,20650.0
2022-07-19,19800,20000,19450,19700,4889,-1.0050251256281406,19672.5,,,19747.93083900227,17548.241305772764,19672.5,21796.758694227236,21.59622512875573,0.5064728462862674,47.56501477897004,,,,,,20700.0,,21050.0
2022-07-20,19750,20350,19750,20150,11144,2.284263959390863,19705.0,,,19786.22314004967,17572.41940363324,19705.0,21837.58059636676,21.64507075733833,0.6043336886676496,51.48259978087134,,,,,,20700.0,,20750.0
2022-07-21,20100,20350,19800,20150,6730,0.0,19872.5,,,19820.868555283036,18202.926701219738,19872.5,21542.073298780262,16.80285116397295,0.5831050664869679,51.48259978087134,,,,,,20700.0,,20750.0
2022-07-22,20350,21000,20150,21000,14349,4.218362282878412,20037.5,,,19933.166788113223,18627.225204082548,20037.5,21447.774795917452,14.076354793935892,0.841245551145884,58.30661805706357,,,,,,20250.0,,21000.0
2022-07-25,21200,21400,20800,20900,12056,-0.4761904761904762,20172.5,,,20025.24614162625,18993.740058366413,20172.5,21351.259941633587,11.686800759782743,0.8085870049977235,57.28578370402116,392.9598235064259,,,,,20425.0,19275.0,21050.0
2022-07-26,20850,20950,20650,20900,4061,0.0,20255.0,,,20108.556032899938,19115.74585802815,20255.0,21394.25414197185,11.249115200906946,0.783079945131302,57.28578370402116,414.8844791931442,,,,,20425.0,19275.0,21150.0
2022-07-27,20900,20900,20500,20650,2333,-1.1961722488038278,20262.5,,,20160.122125004706,19114.948258247143,20262.5,21410.051741752857,11.326852478745042,0.6688377028682398,54.518275542624416,407.39086778879937,,,,,20425.0,19275.0,21500.0
2022-07-28,20800,21200,20550,21000,7345,1.694915254237288,20350.0,,,20240.110494051878,19259.128788536418,20350.0,21440.871211463582,10.72109298735707,0.7979270115341658,57.60613670706463,424.79740167099226,,,,,20425.0,19275.0,21600.0
2022-07-29,21150,21250,20750,20750,13121,-1.1904761904761905,20392.5,,,20288.671399380273,19308.860299730568,20392.5,21476.139700269432,10.627825919033292,0.6649533511512694,54.74698188668053,413.65098346848026,,,,,20425.0,19375.0,22400.0
2022-08-01,20900,20900,20650,20700,2897,-0.24096385542168677,20447.5,,,20327.84555182025,19420.136870429924,20447.5,21474.863129570076,10.048789627779202,0.622887415721092,54.167918971916635,396.21545942414014,,,,,20575.0,19900.0,22800.0
