ticker,name,market,is_kospi200
373110,엑셀세라퓨틱스,KOSDAQ,No
013890,지누스,KOSPI,No
373200,엑스플러스,KOSDAQ,No
034830,한국토지신탁,KOSPI,No
080530,코디,KOSDAQ,No
052670,제일바이오,KOSDAQ,No
010400,우진아이엔에스,KOSPI,No
298020,효성티앤씨,KOSPI,Yes
900100,애머릿지,KOSDAQ,No
036620,감성코퍼레이션,KOSDAQ,No
048470,대동스틸,KOSDAQ,No
004920,씨아이테크,KOSPI,No
279600,미디어젠,KOSDAQ,No
048530,인트론바이오,KOSDAQ,No
048910,대원미디어,KOSDAQ,No
005740,크라운해태홀딩스,KOSPI,No
051490,나라엠앤디,KOSDAQ,No
217730,강스템바이오텍,KOSDAQ,No
053620,태양,KOSDAQ,No
465480,인스피언,KOSDAQ,No
207760,미스터블루,KOSDAQ,No
000950,전방,KOSPI,No
039740,한국정보공학,KOSDAQ,No
023770,플레이위드,KOSDAQ,No
241790,티이엠씨씨엔에스,KOSDAQ,No
110790,크리스에프앤씨,KOSDAQ,No
475240,하나32호스팩,KOSDAQ,No
482690,대신밸런스제19호스팩,KOSDAQ,No
004380,삼익THK,KOSPI,No
000540,흥국화재,KOSPI,No
298060,에스씨엠생명과학,KOSDAQ,No
104540,코렌텍,KOSDAQ,No
469750,아이비젼웍스,KOSDAQ,No
001800,오리온홀딩스,KOSPI,Yes
015760,한국전력,KOSPI,Yes
101240,씨큐브,KOSDAQ,No
462870,시프트업,KOSPI,No
108230,톱텍,KOSDAQ,No
297570,알로이스,KOSDAQ,No
038680,에스넷,KOSDAQ,No
078935,GS우,KOSPI,No
224110,에이텍모빌리티,KOSDAQ,No
007590,동방아그로,KOSPI,No
051600,한전KPS,KOSPI,Yes
352820,하이브,KOSPI,Yes
012030,DB,KOSPI,No
014130,한익스프레스,KOSPI,No
016880,웅진,KOSPI,No
018260,삼성에스디에스,KOSPI,Yes
475460,미트박스,KOSDAQ,No
100220,비상교육,KOSPI,No
219750,한국비티비,KOSDAQ,No
138070,신진에스엠,KOSDAQ,No
128660,피제이메탈,KOSDAQ,No
009460,한창제지,KOSPI,No
487720,키움제10호스팩,KOSDAQ,No
007460,에이프로젠,KOSPI,No
002360,SH에너지화학,KOSPI,No
360350,코셈,KOSDAQ,No
456040,OCI,KOSPI,Yes
052300,오션인더블유,KOSDAQ,No
064240,홈캐스트,KOSDAQ,No
025560,미래산업,KOSPI,No
006840,AK홀딩스,KOSPI,No
088130,동아엘텍,KOSDAQ,No
000430,대원강업,KOSPI,No
011200,HMM,KOSPI,Yes
044990,에이치엔에스하이텍,KOSDAQ,No
034220,LG디스플레이,KOSPI,Yes
002150,도화엔지니어링,KOSPI,No
013520,화승코퍼레이션,KOSPI,No
012620,원일특강,KOSDAQ,No
064850,에프앤가이드,KOSDAQ,No
18064K,한진칼우,KOSPI,No
088280,쏘닉스,KOSDAQ,No
474930,신한제13호스팩,KOSDAQ,No
450050,하이제8호스팩,KOSDAQ,No
005830,DB손해보험,KOSPI,Yes
308430,셀비온,KOSDAQ,No
001560,제일연마,KOSPI,No
160190,하이젠알앤엠,KOSDAQ,No
086670,비엠티,KOSDAQ,No
080720,한국유니온제약,KOSDAQ,No
298050,HS효성첨단소재,KOSPI,Yes
003070,코오롱글로벌,KOSPI,No
095700,제넥신,KOSDAQ,No
005385,현대차우,KOSPI,No
005290,동진쎄미켐,KOSDAQ,No
332370,아이디피,KOSDAQ,No
121800,비덴트,KOSDAQ,No
267290,경동도시가스,KOSPI,No
005950,이수화학,KOSPI,No
001040,CJ,KOSPI,Yes
373170,엠아이큐브솔루션,KOSDAQ,No
241690,유니테크노,KOSDAQ,No
355690,에이텀,KOSDAQ,No
086060,진바이오텍,KOSDAQ,No
277410,인산가,KOSDAQ,No
004985,성신양회우,KOSPI,No
000970,한국주철관,KOSPI,No
025860,남해화학,KOSPI,No
216050,인크로스,KOSDAQ,No
012340,뉴인텍,KOSDAQ,No
169330,엠브레인,KOSDAQ,No
079950,인베니아,KOSDAQ,No
225220,제놀루션,KOSDAQ,No
151860,KG에코솔루션,KOSDAQ,No
161580,필옵틱스,KOSDAQ,No
489460,바이오비쥬,KOSDAQ,No
140520,대창스틸,KOSDAQ,No
033180,KH 필룩스,KOSPI,No
009540,HD한국조선해양,KOSPI,Yes
056700,신화인터텍,KOSDAQ,No
475580,에이럭스,KOSDAQ,No
066575,LG전자우,KOSPI,No
469880,하나30호스팩,KOSDAQ,No
081150,티플랙스,KOSDAQ,No
462350,이노스페이스,KOSDAQ,No
080010,이상네트웍스,KOSDAQ,No
054410,케이피티유,KOSDAQ,No
042420,네오위즈홀딩스,KOSDAQ,No
039840,디오,KOSDAQ,No
016580,환인제약,KOSPI,No
004710,한솔테크닉스,KOSPI,No
003480,한진중공업홀딩스,KOSPI,No
006260,LS,KOSPI,Yes
096770,SK이노베이션,KOSPI,Yes
33626L,두산퓨얼셀2우B,KOSPI,No
354200,엔젠바이오,KOSDAQ,No
034810,해성산업,KOSDAQ,No
238090,앤디포스,KOSDAQ,No
26490K,크라운제과우,KOSPI,No
137080,나래나노텍,KOSDAQ,No
101530,해태제과식품,KOSPI,No
019680,대교,KOSPI,No
009580,무림P&P,KOSPI,No
071320,지역난방공사,KOSPI,Yes
001527,동양2우B,KOSPI,No
069140,누리플랜,KOSDAQ,No
099750,이지케어텍,KOSDAQ,No
019540,일지테크,KOSDAQ,No
003030,세아제강지주,KOSPI,Yes
453450,그리드위즈,KOSDAQ,No
002380,KCC,KOSPI,Yes
012700,리드코프,KOSDAQ,No
089850,유비벨록스,KOSDAQ,No
061040,알에프텍,KOSDAQ,No
415380,스튜디오삼익,KOSDAQ,No
039030,이오테크닉스,KOSDAQ,No
064400,LG씨엔에스,KOSPI,No
005960,동부건설,KOSPI,No
006800,미래에셋증권,KOSPI,Yes
102280,쌍방울,KOSPI,No
455180,케이지에이,KOSDAQ,No
100120,뷰웍스,KOSDAQ,No
113810,디젠스,KOSDAQ,No
092460,한라IMS,KOSDAQ,No
451760,컨텍,KOSDAQ,No
000650,천일고속,KOSPI,No
060560,홈센타홀딩스,KOSDAQ,No
010960,삼호개발,KOSPI,No
317770,엑스페릭스,KOSDAQ,No
091810,티웨이항공,KOSPI,No
059270,해성에어로보틱스,KOSDAQ,No
377480,마음AI,KOSDAQ,No
002820,SUN&L,KOSPI,No
138490,코오롱ENP,KOSPI,No
282880,코윈테크,KOSDAQ,No
083660,CSA 코스믹,KOSDAQ,No
081660,미스토홀딩스,KOSPI,Yes
000020,동화약품,KOSPI,No
475960,토모큐브,KOSDAQ,No
376300,디어유,KOSDAQ,No
452400,이닉스,KOSDAQ,No
036120,서울평가정보,KOSDAQ,No
024850,HLB이노베이션,KOSDAQ,No
232140,와이씨,KOSDAQ,No
036810,에프에스티,KOSDAQ,No
007540,샘표,KOSPI,No
017860,DS단석,KOSPI,No
014710,사조씨푸드,KOSPI,No
302430,이노메트리,KOSDAQ,No
090150,아이윈,KOSDAQ,No
082920,비츠로셀,KOSDAQ,No
098460,고영,KOSDAQ,No
057030,YBM넷,KOSDAQ,No
124560,태웅로직스,KOSDAQ,No
066430,와이오엠,KOSDAQ,No
479960,위너스,KOSDAQ,No
051905,LG생활건강우,KOSPI,No
003530,한화투자증권,KOSPI,No
139130,iM금융지주,KOSPI,Yes
058430,포스코스틸리온,KOSPI,No
214370,케어젠,KOSDAQ,No
067170,오텍,KOSDAQ,No
004590,한국가구,KOSDAQ,No
197140,디지캡,KOSDAQ,No
108860,셀바스AI,KOSDAQ,No
263050,유틸렉스,KOSDAQ,No
030000,제일기획,KOSPI,Yes
000120,CJ대한통운,KOSPI,Yes
145270,케이탑리츠,KOSPI,No
317690,퀀타매트릭스,KOSDAQ,No
140410,메지온,KOSDAQ,No
289930,웨이비스,KOSDAQ,No
043260,성호전자,KOSDAQ,No
236810,엔비티,KOSDAQ,No
000155,두산우,KOSPI,No
111770,영원무역,KOSPI,Yes
025820,이구산업,KOSPI,No
026040,제이에스티나,KOSDAQ,No
225430,케이엠제약,KOSDAQ,No
001740,SK네트웍스,KOSPI,No
043710,서울리거,KOSDAQ,No
448730,삼성FN리츠,KOSPI,No
054800,아이디스홀딩스,KOSDAQ,No
011070,LG이노텍,KOSPI,Yes
014470,부방,KOSDAQ,No
214390,경보제약,KOSPI,No
200230,텔콘RF제약,KOSDAQ,No
100840,SNT에너지,KOSPI,No
416180,신성에스티,KOSDAQ,No
052330,코텍,KOSDAQ,No
024890,대원화성,KOSPI,No
000050,경방,KOSPI,No
145990,삼양사,KOSPI,No
006740,영풍제지,KOSPI,No
225530,보광산업,KOSDAQ,No
362990,드림인사이트,KOSDAQ,No
065420,에스아이리소스,KOSDAQ,No
006880,신송홀딩스,KOSPI,No
036630,세종텔레콤,KOSDAQ,No
477470,미래에셋비전스팩5호,KOSDAQ,No
098660,에스티오,KOSDAQ,No
