날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,8670,8670,8100,8300,30866,-3.263403263403263,,,,,,,,,,,,,,,,,,9020.0
2022-06-21,8180,8410,8180,8340,25668,0.48192771084337355,,,,,,,,,,,,,,,,,,9030.0
2022-06-22,8430,8430,7990,8030,22444,-3.7170263788968825,,,,,,,,,,,,,,,,,,8920.0
2022-06-23,8030,8160,7650,7690,48662,-4.2341220423412205,,,,,,,,,,,,,,,,,,9030.0
2022-06-24,7600,8190,7600,7900,29202,2.7308192457737324,,,,,,,,,,,,,,,,,,8960.0
2022-06-27,8000,8190,7910,8110,21567,2.6582278481012658,,,,,,,,,,,,,,,,,,8870.0
2022-06-28,8030,8210,7910,8210,12409,1.2330456226880395,,,,,,,,,,,,,,,,,,8880.0
2022-06-29,8120,8200,8050,8130,9918,-0.9744214372716199,,,,,,,,,,,,,,,,,,8980.0
2022-06-30,8110,8140,7990,8050,9426,-0.984009840098401,,,,,,,,,,,,,,,,8135.0,,8960.0
2022-07-01,8010,8070,7810,7910,12819,-1.7391304347826086,,,,,,,,,,,,,,,,8015.0,,8930.0
2022-07-04,8000,8000,7510,7690,28469,-2.781289506953224,,,,,,,,,,,,,,,,7970.0,,8920.0
2022-07-05,7560,8050,7560,8030,17903,4.421326397919375,,,,,,,,,,,,,,,,7860.0,,8850.0
2022-07-06,8030,8050,7830,7850,12829,-2.2415940224159403,,,,,,,,,,,,,,,,7860.0,,8910.0
2022-07-07,7910,8110,7890,8090,9441,3.0573248407643314,,,,,,,,,,,,,,,,7860.0,,9030.0
2022-07-08,8110,8190,8030,8190,23423,1.2360939431396787,,,,,,,,,,52.44058522778671,,,,,,7860.0,,9030.0
2022-07-11,8190,8220,8100,8100,5117,-1.098901098901099,,,,,,,,,,49.55693904275626,,,,,,7865.0,,9260.0
2022-07-12,8100,8100,7850,7850,13337,-3.0864197530864197,,,,,,,,,,42.55653806447973,,,,,,7865.0,,9440.0
2022-07-13,7850,8050,7850,8020,10834,2.1656050955414012,,,,,,,,,,47.941736562608135,,,,,,7865.0,,9210.0
2022-07-14,8100,8100,7850,8050,11071,0.3740648379052369,,,,,,,,,,48.852988346620684,,,,,,7865.0,,9090.0
2022-07-15,8050,8140,7900,8140,4543,1.1180124223602486,8034.0,,,8034.0,7689.9418653773755,8034.0,8378.058134622624,8.565051895011813,0.6540437346674925,51.59067464919433,,,,,,7890.0,,9080.0
2022-07-18,8140,8260,8140,8260,6601,1.4742014742014742,8032.0,,,8055.52380952381,7693.733832611064,8032.0,8370.266167388936,8.422962335381875,0.8370127165833986,55.04575053079497,,,,,,8045.0,,9280.0
2022-07-19,8220,8330,8160,8320,5625,0.7263922518159807,8031.0,,,8080.71201814059,7696.282208420287,8031.0,8365.717791579713,8.335644168340503,0.9317069592208618,56.70945543355415,,,,,,8090.0,,9290.0
2022-07-20,8350,8430,8330,8420,6721,1.201923076923077,8050.5,,,8113.025159270057,7675.2947228516105,8050.5,8425.70527714839,9.321291277520404,0.9923971256591174,59.405960543376096,,,,,,8140.0,,9240.0
2022-07-21,8460,8510,8400,8510,6601,1.0688836104513064,8091.5,,,8150.832286958624,7703.826168022653,8091.5,8479.173831977347,9.582248828458177,1.0397578653496202,61.717170604592816,,,,,,8180.0,,8930.0
