날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,114000,114000,110000,110500,7875,-2.2123893805309733,,,,,,,,,,,,,,,,,,115500.0
2022-06-21,111500,113000,111000,113000,4475,2.262443438914027,,,,,,,,,,,,,,,,,,114000.0
2022-06-22,112000,113500,111000,113000,4026,0.0,,,,,,,,,,,,,,,,,,115500.0
2022-06-23,111500,112000,109500,110000,6325,-2.6548672566371683,,,,,,,,,,,,,,,,,,117500.0
2022-06-24,113000,115500,110500,112500,9443,2.272727272727273,,,,,,,,,,,,,,,,,,118000.0
2022-06-27,114000,116000,112000,115500,8263,2.666666666666667,,,,,,,,,,,,,,,,,,119000.0
2022-06-28,115000,116500,114000,116500,2595,0.8658008658008658,,,,,,,,,,,,,,,,,,119000.0
2022-06-29,116000,117500,114500,117500,3503,0.8583690987124464,,,,,,,,,,,,,,,,,,118500.0
2022-06-30,116000,121500,116000,119000,12818,1.276595744680851,,,,,,,,,,,,,,,,115500.0,,118000.0
2022-07-01,121000,121000,116500,118500,7087,-0.42016806722689076,,,,,,,,,,,,,,,,115500.0,,120500.0
2022-07-04,120000,120000,116000,118000,8469,-0.42194092827004215,,,,,,,,,,,,,,,,115500.0,,124000.0
2022-07-05,116500,119500,116500,119500,7836,1.2711864406779663,,,,,,,,,,,,,,,,115500.0,,124500.0
2022-07-06,119500,119500,116500,118000,4285,-1.2552301255230125,,,,,,,,,,,,,,,,116000.0,,124000.0
2022-07-07,117500,118000,116000,117500,3971,-0.423728813559322,,,,,,,,,,,,,,,,116750.0,,123500.0
2022-07-08,117000,118000,115500,115500,8692,-1.702127659574468,,,,,,,,,,54.66314889386911,,,,,,117750.0,,124500.0
2022-07-11,116500,116500,111500,112500,8076,-2.5974025974025974,,,,,,,,,,43.64524746803597,,,,,,116500.0,,123000.0
2022-07-12,111500,113000,111500,113000,4483,0.4444444444444444,,,,,,,,,,45.61283512719232,,,,,,116500.0,,124000.0
2022-07-13,112000,117000,112000,116500,9312,3.0973451327433628,,,,,,,,,,56.94493752281969,,,,,,116250.0,,124500.0
2022-07-14,115500,117000,114500,115500,3747,-0.8583690987124464,,,,,,,,,,53.51410903133729,,,,,,115750.0,,124000.0
2022-07-15,115000,117000,111000,117000,3189,1.2987012987012987,115450.0,,,115450.0,109901.12624039796,115450.0,120998.87375960204,9.61260070957477,0.6396679819321719,57.63704055359654,,,,,,115250.0,,121500.0
2022-07-18,117000,117500,115000,117000,5297,0.0,115775.0,,,115597.61904761905,110681.13113635618,115775.0,120868.86886364382,8.799600714565004,0.6202425928887887,57.63704055359655,,,,,,115250.0,,121000.0
2022-07-19,117000,120000,115000,119000,12508,1.7094017094017095,116075.0,,,115921.65532879818,110963.49337279116,116075.0,121186.50662720884,8.807248119248493,0.7861191634214124,62.746346784363624,,,,,,115500.0,,120500.0
2022-07-20,118500,119500,115500,116000,26100,-2.5210084033613445,116225.0,,,115929.11672605551,111310.98941800081,116225.0,121139.01058199919,8.456030255107228,0.4771062764064641,52.51495763755428,,,,,,115500.0,,123000.0
