날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,13600,13750,12250,12450,176097,-8.455882352941178,,,,,,,,,,,,,,,,,,13700.0
2022-06-21,12700,13300,12300,13150,115720,5.622489959839357,,,,,,,,,,,,,,,,,,13500.0
2022-06-22,13100,13600,12100,12250,137899,-6.844106463878327,,,,,,,,,,,,,,,,,,14200.0
2022-06-23,12300,12450,11500,11650,206355,-4.8979591836734695,,,,,,,,,,,,,,,,,,14500.0
2022-06-24,11650,12650,11500,12650,118839,8.583690987124463,,,,,,,,,,,,,,,,,,14250.0
2022-06-27,12700,12950,12400,12750,83539,0.7905138339920948,,,,,,,,,,,,,,,,,,14300.0
2022-06-28,12600,12800,12250,12600,50804,-1.1764705882352942,,,,,,,,,,,,,,,,,,14450.0
2022-06-29,12250,12800,12000,12700,73247,0.7936507936507936,,,,,,,,,,,,,,,,,,14700.0
2022-06-30,12850,12850,12250,12500,40159,-1.574803149606299,,,,,,,,,,,,,,,,12625.0,,14700.0
2022-07-01,12450,12950,12250,12500,65589,0.0,,,,,,,,,,,,,,,,12550.0,,14550.0
2022-07-04,12500,12700,11800,12500,56507,0.0,,,,,,,,,,,,,,,,12550.0,,14250.0
2022-07-05,12300,12700,12300,12650,98722,1.2,,,,,,,,,,,,,,,,12225.0,,13550.0
2022-07-06,12650,13300,12500,12650,106279,0.0,,,,,,,,,,,,,,,,12400.0,,13700.0
2022-07-07,12950,13150,12750,13150,76317,3.9525691699604746,,,,,,,,,,,,,,,,12550.0,,13600.0
2022-07-08,13300,13500,13000,13150,78562,0.0,,,,,,,,,,62.96118009954789,,,,,,12650.0,,13600.0
2022-07-11,13200,13250,12600,13150,131345,0.0,,,,,,,,,,62.961180099547896,,,,,,12650.0,,13150.0
2022-07-12,12800,13150,12650,13150,71605,0.0,,,,,,,,,,62.96118009954789,,,,,,12650.0,,13700.0
2022-07-13,13100,13700,12900,13700,118837,4.182509505703422,,,,,,,,,,71.52106257143839,,,,,,12750.0,,14800.0
2022-07-14,13600,14150,13500,13700,138734,0.0,,,,,,,,,,71.52106257143838,,,,,,12975.0,,14850.0
2022-07-15,13700,13800,13250,13550,89697,-1.094890510948905,12827.5,,,12827.5,11835.796919436063,12827.5,13819.203080563937,15.46214118984895,0.86427233824319,66.64911104898867,,,,,,13225.0,,14100.0
2022-07-18,13650,13700,13250,13500,55715,-0.36900369003690037,12880.0,,,12891.54761904762,11862.945429192709,12880.0,13897.054570807291,15.792772838622536,0.8048017371908925,65.05824085593258,,,,,,13325.0,,13850.0
2022-07-19,13500,13550,13300,13500,45419,0.0,12897.5,,,12949.495464852609,11850.850584006275,12897.5,13944.149415993725,16.23026812938515,0.7878232151058747,65.05824085593257,,,,,,13375.0,,13950.0
2022-07-20,13700,14100,13500,13800,122622,2.2222222222222223,12975.0,,,13030.495896771408,11902.386369655875,12975.0,14047.613630344125,16.53354343497688,0.8845746393019993,70.03528165238573,,,,,,13375.0,,14200.0
2022-07-21,13800,14300,13650,14200,88602,2.898550724637681,13102.5,,,13141.877239936037,12085.40855868314,13102.5,14119.59144131686,15.525150792854177,1.0395286772736152,75.12324120444161,,,,,,13450.0,,13700.0
2022-07-22,14200,14400,13550,13750,85166,-3.169014084507042,13157.5,,,13199.793693275462,12125.378398637056,13157.5,14189.621601362944,15.688719002286813,0.7870301325045364,62.30585388088315,,,,,,13525.0,,14400.0
2022-07-25,13400,13750,13250,13700,50942,-0.36363636363636365,13205.0,,,13247.43238915399,12164.855779230587,13205.0,14245.144220769413,15.753793574697655,0.7379477721050259,61.05927712879138,503.9135049012075,,,,,13650.0,12950.0,14450.0
2022-07-26,13700,13750,13350,13700,39045,0.0,13260.0,,,13290.534066377419,12237.454157506858,13260.0,14282.545842493142,15.423014215582837,0.7151492782598404,61.059277128791386,479.1606492271676,,,,,13825.0,12950.0,14000.0
2022-07-27,13500,13750,13450,13500,33294,-1.4598540145985401,13300.0,,,13310.483202912903,12306.018108816861,13300.0,14293.981891183139,14.947096108017126,0.6006054545731913,55.873373707176185,438.35245006115656,,,,,13825.0,12950.0,14050.0
2022-07-28,13650,14200,13600,14200,163902,5.185185185185185,13385.0,,,13395.19908834977,12388.45597187078,13385.0,14381.54402812922,14.890459889865063,0.9089131924908395,66.5740131688067,457.2252005714199,,,,,13825.0,12950.0,13700.0
