날짜,open,high,low,close,volume,등락률,SMA_20,SMA_60,SMA_120,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-06-20,34300,34850,33000,33450,115597,-2.335766423357664,,,,,,,,,,,,,,,,,,28950.0
2022-06-21,33450,34650,32750,34450,115228,2.9895366218236172,,,,,,,,,,,,,,,,,,29450.0
2022-06-22,34450,34450,31550,31700,210918,-7.982583454281568,,,,,,,,,,,,,,,,,,29950.0
2022-06-23,32200,32750,30550,30900,211699,-2.5236593059936907,,,,,,,,,,,,,,,,,,29950.0
2022-06-24,31150,33050,31150,32850,173396,6.310679611650485,,,,,,,,,,,,,,,,,,29400.0
2022-06-27,33850,34750,33500,34300,270776,4.41400304414003,,,,,,,,,,,,,,,,,,29450.0
2022-06-28,33900,34200,32600,33000,219261,-3.7900874635568513,,,,,,,,,,,,,,,,,,29100.0
2022-06-29,32350,32600,30750,31700,260084,-3.939393939393939,,,,,,,,,,,,,,,,,,29200.0
2022-06-30,31800,31950,30950,31000,134683,-2.2082018927444795,,,,,,,,,,,,,,,,32700.0,,30450.0
2022-07-01,31100,31650,28100,29450,511154,-5.0,,,,,,,,,,,,,,,,31425.0,,29350.0
2022-07-04,29550,31300,29250,30150,238231,2.3769100169779285,,,,,,,,,,,,,,,,31425.0,,29400.0
2022-07-05,30450,31500,30000,31150,133801,3.316749585406302,,,,,,,,,,,,,,,,31425.0,,27750.0
2022-07-06,31500,32600,30750,31650,227525,1.6051364365971106,,,,,,,,,,,,,,,,31425.0,,28050.0
2022-07-07,31650,32300,31400,31950,72624,0.9478672985781991,,,,,,,,,,,,,,,,31425.0,,28300.0
2022-07-08,32000,32500,31550,31700,69793,-0.7824726134585289,,,,,,,,,,46.26680950053234,,,,,,31150.0,,28150.0
2022-07-11,31700,32400,31100,31850,82414,0.47318611987381703,,,,,,,,,,47.232018673780935,,,,,,30350.0,,27500.0
2022-07-12,31700,31900,30700,31250,103459,-1.8838304552590266,,,,,,,,,,43.83974047227402,,,,,,30350.0,,26900.0
2022-07-13,31700,32600,31300,31500,151792,0.8,,,,,,,,,,45.59314458638918,,,,,,30350.0,,26200.0
2022-07-14,31200,32000,30650,31650,99441,0.4761904761904762,,,,,,,,,,46.66903561469078,,,,,,30925.0,,25650.0
2022-07-15,32150,32200,31250,31500,109711,-0.47393364928909953,31857.5,,,31857.5,29442.075606647973,31857.5,34272.92439335203,15.163929331253403,0.42599644166384437,45.695892952406744,,,,,,31300.0,,25100.0
